#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     278  -78.554   14.851   16.855    1.541   12.414   24.150  -15.075    2.604    2.364   -9.029
     279  -73.562    5.818   12.530    0.690   16.337   27.429  -14.670    1.455    1.208  -11.086
     280  -60.380    0.679   15.414    8.221   14.646    9.482   -8.476   -0.686   12.252   -3.597
     281  -69.025    6.331   17.766   -1.425   14.580   18.098  -11.454   -0.781    0.447   -7.461
     282  -60.497   -9.844   35.360    1.050   16.916   21.674  -12.739    2.759    0.580   -6.476
     283  -49.338  -24.460   34.999    2.452   10.774    7.834   -7.915    2.595    1.798   -7.565
     284  -49.222  -13.079   25.890    0.743   13.205   10.706   -9.383   -2.515   -0.185   -4.179
     285  -49.178  -16.863   26.708    5.812   13.254    7.184   -9.132   -2.539    4.745    0.028
     286  -46.371   -6.097   33.321   11.938   17.268   14.367   -6.853   -7.711    3.618   -7.897
     287  -51.394   -5.488   23.071   12.125   16.874   19.373  -10.426    3.720    1.593   -8.375
